distance_x(dataset_id(377), 3).
distance_x(dataset_id(383), 3).
distance_x(dataset_id(429), 6).
distance_x(dataset_id(34), 11).
distance_x(dataset_id(467), 8).
distance_x(dataset_id(482), 9).
distance_x(dataset_id(388), 3).
distance_x(dataset_id(351), 27).
distance_x(dataset_id(479), 9).
distance_x(dataset_id(378), 3).
distance_x(dataset_id(297), 24).
distance_x(dataset_id(384), 3).
distance_x(dataset_id(230), 21).
distance_x(dataset_id(235), 21).
distance_x(dataset_id(115), 16).
distance_x(dataset_id(183), 19).
distance_x(dataset_id(416), 5).
distance_x(dataset_id(316), 25).
distance_x(dataset_id(282), 23).
distance_x(dataset_id(336), 26).
distance_x(dataset_id(470), 8).
distance_x(dataset_id(228), 21).
distance_x(dataset_id(347), 27).
distance_x(dataset_id(480), 9).
distance_x(dataset_id(427), 6).
distance_x(dataset_id(415), 5).
distance_x(dataset_id(2), 1).
distance_x(dataset_id(72), 14).
distance_x(dataset_id(247), 21).
distance_x(dataset_id(284), 24).
distance_x(dataset_id(389), 3).
distance_x(dataset_id(4), 1).
distance_x(dataset_id(251), 22).
distance_x(dataset_id(255), 22).
distance_x(dataset_id(433), 6).
distance_x(dataset_id(307), 25).
distance_x(dataset_id(203), 2).
distance_x(dataset_id(258), 22).
distance_x(dataset_id(333), 26).
distance_x(dataset_id(165), 18).
distance_x(dataset_id(341), 26).
distance_x(dataset_id(121), 16).
distance_x(dataset_id(193), 2).
distance_x(dataset_id(75), 14).
distance_x(dataset_id(196), 2).
distance_x(dataset_id(81), 14).
distance_x(dataset_id(365), 28).
distance_x(dataset_id(280), 23).
distance_x(dataset_id(174), 18).
distance_x(dataset_id(245), 21).
distance_x(dataset_id(118), 16).
distance_x(dataset_id(425), 5).
distance_x(dataset_id(264), 23).
distance_x(dataset_id(499), 9).
distance_x(dataset_id(295), 24).
distance_x(dataset_id(78), 14).
distance_x(dataset_id(33), 11).
distance_x(dataset_id(91), 14).
distance_x(dataset_id(445), 7).
distance_x(dataset_id(184), 19).
distance_x(dataset_id(134), 16).
distance_x(dataset_id(357), 27).
distance_x(dataset_id(492), 9).
distance_x(dataset_id(279), 23).
distance_x(dataset_id(101), 15).
distance_x(dataset_id(256), 22).
distance_x(dataset_id(374), 28).
distance_x(dataset_id(326), 26).
distance_x(dataset_id(58), 13).
distance_x(dataset_id(154), 18).
distance_x(dataset_id(478), 9).
distance_x(dataset_id(155), 18).
distance_x(dataset_id(440), 7).
distance_x(dataset_id(454), 7).
distance_x(dataset_id(226), 21).
distance_x(dataset_id(403), 4).
distance_x(dataset_id(395), 4).
distance_x(dataset_id(455), 8).
distance_x(dataset_id(414), 5).
distance_x(dataset_id(309), 25).
distance_x(dataset_id(497), 9).
distance_x(dataset_id(260), 22).
distance_x(dataset_id(15), 1).
distance_x(dataset_id(76), 14).
distance_x(dataset_id(380), 3).
distance_x(dataset_id(130), 16).
distance_x(dataset_id(24), 10).
distance_x(dataset_id(292), 24).
distance_x(dataset_id(110), 15).
distance_x(dataset_id(413), 5).
distance_x(dataset_id(113), 16).
distance_x(dataset_id(349), 27).
