i,loss,Accuracy
0,0.06646375352353769,0.03833333333333333
50,3.3457175605161833,
100,3.419494057456902,
150,3.352938197612978,
200,3.3706028600806177,
250,3.378648980726646,
300,3.303397382319978,
350,3.3478665133396577,
400,3.341345458354721,
450,3.337462797077905,
500,3.3162200004596567,0.04133333333333333
550,3.2682137728530374,
600,3.299760143582533,
650,3.384881949119199,
700,3.3207278053769067,
750,3.3144014189550095,
800,3.2769795406066016,
850,3.3522614730313727,
900,3.377832915370001,
950,3.3169583038929056,
1000,3.315107778392124,0.05
1050,3.302055404880463,
1100,3.274381053368475,
1150,3.277251043984934,
1200,3.2672587711392023,
1250,3.2837163832784433,
1300,3.2807975219289567,
1350,3.2382653275574502,
1400,3.2338313155010705,
1450,3.2057910735792814,
1500,3.2032947549243977,0.15933333333333333
1550,3.184666861064479,
1600,3.1520737962053946,
1650,3.1568687447479418,
1700,3.138599165780207,
1750,3.0359265618469284,
1800,3.0862214875347025,
1850,3.0627421697743165,
1900,3.0526059254426885,
1950,2.91281397994058,
2000,2.941193516129527,0.361
2050,2.835286742546702,
2100,2.790609702415358,
2150,2.723216768813151,
2200,2.63518316337997,
2250,2.6153483231865504,
2300,2.5125434272166434,
2350,2.6786091450743474,
2400,2.353642255183534,
2450,2.287486096527186,
2500,2.1908381941489763,0.668
2550,2.143365281460815,
2600,2.0085382937350733,
2650,1.812656651964314,
2700,1.756611153698965,
2750,1.7792027379134805,
2800,1.5104630290254537,
2850,1.5039580865927888,
2900,1.3827011750553626,
2950,1.2321239312699945,
3000,1.1941494133215873,0.9123333333333333
3050,1.0221070458521462,
3100,0.9047315574493312,
3150,0.7513460657102478,
3200,0.9754913870319539,
3250,0.6820302931273277,
3300,0.6547331160785188,
3350,0.47131025601336385,
3400,0.5633881650023117,
3450,0.4366415452143009,
3500,0.48213797350826815,0.9796666666666667
3550,0.26686926581408826,
3600,0.22872161274035294,
3650,0.21338945594125608,
3700,0.26748607352838705,
3750,0.1788184277524837,
3800,0.15485861213294,
3850,0.1498121513897644,
3900,0.15816500352444623,
3950,0.18952635790042102,
4000,0.12172055568576035,0.99
4050,0.13296789659903208,
4100,0.1127187601045963,
4150,0.08700689172012957,
4200,0.0998242825826268,
4250,0.08913577168642288,
4300,0.09215369137718446,
4350,0.04596199149922751,
4400,0.11255598747647509,
4450,0.06031090676454525,
4500,0.11909303484458349,0.9966666666666667
4550,0.030732188828591793,
4600,0.07247874264833533,
4650,0.0737376110072963,
4700,0.07143416613234332,
4750,0.08858717893332022,
4800,0.034756360409571516,
4850,0.03842218798518478,
4900,0.034806101659432945,
4950,0.03419554371986736,
5000,0.025831674355093884,1.0
5050,0.059540632492297484,
5100,0.018740029246559847,
5150,0.028282409474077907,
5200,0.02673096208868973,
5250,0.020242859630608658,
5300,0.03034916356390684,
5350,0.018998148496706092,
5400,0.017029314896722943,
5450,0.017441443643908247,
5500,0.014497436234177218,1.0
5550,0.011896993951147915,
5600,0.01205608882318911,
5650,0.016458380237446602,
5700,0.010850307948687627,
5750,0.01077007418516134,
5800,0.013786564573842308,
5850,0.013899367410357626,
5900,0.010559645720843877,
5950,0.01072663743070983,
6000,0.011552404821093041,0.9976666666666667
6050,0.032463706899056366,
6100,0.00970366732380094,
6150,0.011413241134825582,
6200,0.009369961158246863,
6250,0.01287094253142375,
6300,0.007995823389393678,
6350,0.010038511743235137,
6400,0.010063050573327893,
6450,0.010940988270373916,
6500,0.008980613294896845,1.0
6550,0.007833839402745027,
6600,0.009253446168666794,
6650,0.007315521999994649,
6700,0.007930273625194544,
6750,0.00822853299448912,
6800,0.007004810837740068,
6850,0.007631345923003513,
6900,0.006930013379721046,
6950,0.007475054897109027,
7000,0.00553888748985376,1.0
7050,0.009121475930246517,
7100,0.007012935038056215,
7150,0.0064175803240035445,
7200,0.005818813569109666,
7250,0.006268209798995323,
7300,0.005798090234679647,
7350,0.007869792787250703,
7400,0.007050568257591902,
7450,0.0069738160033111715,
7500,0.006592372187970874,1.0
7550,0.006107250298835545,
7600,0.007398664930560033,
7650,0.005154634172115698,
7700,0.005210016519281263,
7750,0.005922379070607324,
7800,0.00500649840194335,
7850,0.004886274907685776,
7900,0.004854311992115088,
7950,0.004421387169987345,
8000,0.004380498620292257,1.0
8050,0.004558655281882332,
8100,0.006939809317168482,
8150,0.005127288989995391,
8200,0.004886540716415056,
8250,0.004978312532772381,
8300,0.004414917722763471,
8350,0.0035239157187571877,
8400,0.0038176139436831655,
8450,0.004750383783861915,
8500,0.004334018707015416,1.0
8550,0.004192748652281577,
8600,0.005654110996643826,
8650,0.003579295789010844,
8700,0.003423575747019458,
8750,0.005911357113348114,
8800,0.0038544961073292317,
8850,0.004201436033792068,
8900,0.004057980202409174,
8950,0.00394089758717149,
9000,0.003099873469081988,1.0
9050,0.003510400497831453,
9100,0.003077587933326714,
9150,0.003508176852293272,
9200,0.004122973143807988,
9250,0.00354495597481033,
9300,0.003306215474350782,
9350,0.0038828177751227422,
9400,0.003586643809535941,
9450,0.0036239648843654853,
9500,0.003467226751918703,1.0
9550,0.003261547684729267,
9600,0.002855863836430931,
9650,0.003717299660925952,
9700,0.0032069161549783363,
9750,0.002606277441112952,
9800,0.003559202374002984,
9850,0.0034233383108942927,
9900,0.0032257922478672817,
9950,0.0035005955422390948,
10000,0.003086805376609411,1.0
10050,0.0022858986147453347,
10100,0.003168829077246848,
10150,0.0027481265511160565,
10200,0.003018061739165707,
10250,0.0027155243706633754,
10300,0.0025381846038598204,
10350,0.0028720670457998837,
10400,0.002793431179118382,
10450,0.0027678000132687446,
10500,0.003412932663335971,1.0
10550,0.0028634961337927244,
10600,0.0023806438461938697,
10650,0.003122597859235886,
10700,0.0027392106373050535,
