i,loss,Accuracy
0,2.8318275355857416,0.04
50,2.8318275355857416,
100,2.809151149525742,
150,2.8195204198103574,
200,2.8026431977668342,
250,2.814617823450691,
300,2.770472707931289,
350,2.7589383953230016,
400,2.766473684737048,
450,2.7914974502208247,
500,2.651924862127081,0.19333333333333333
550,2.495491595171948,
600,2.3755076897365774,
650,2.1523674969833446,
700,2.0218364492269805,
750,1.858635722426429,
800,1.7581799665294127,
850,1.551973233662857,
900,0.6518319123027385,
950,0.5483063963660528,
1000,0.771389140006188,0.5933333333333334
1050,0.6453583043865805,
1100,0.4471342301794772,
1150,0.9108007983968075,
1200,0.6897089319407513,
1250,0.6417675887458314,
1300,0.4641593293383491,
1350,0.6058596218676103,
1400,0.1785077030284319,
1450,0.39949726259659973,
1500,0.22471579760754376,0.7466666666666667
1550,0.5271521135745859,
1600,0.27660700811277367,
1650,0.23425494393739377,
1700,0.5636634833472635,
1750,0.022849220987126117,
1800,0.011021550258127762,
1850,0.004827793578047389,
1900,0.008311900959945702,
1950,0.03922555339497959,
2000,0.013435890679587876,0.8733333333333333
2050,0.00804582333368832,
2100,0.037032146501013705,
2150,0.012123664860695675,
2200,0.005468982690653611,
2250,0.005062684754295134,
2300,0.0021020934066729897,
2350,0.025540106621622115,
2400,0.004695936139156455,
2450,0.029482122276779165,
2500,0.012179167746677894,0.8533333333333334
2550,0.005205528073863949,
2600,0.0008834067395212654,
2650,0.0013889511197792497,
2700,0.001392901026465904,
2750,0.0003748083470599678,
2800,0.0005743968569496426,
2850,0.000654207869953257,
2900,0.0007011849399538608,
2950,0.004575643960350574,
3000,0.0010645696223442378,0.8533333333333334
3050,0.0011422153933132522,
3100,0.006579672205161242,
3150,0.0004852781087045059,
3200,0.00019009268185584424,
3250,0.0005043744695919859,
3300,0.0008976048919074899,
3350,0.00019730160031047823,
3400,0.000870490486980251,
3450,0.000562750263489809,
3500,0.00027106115812495054,0.8533333333333334
3550,0.00011184541282337371,
3600,0.0005585120545827199,
3650,0.00018317162963460648,
3700,0.00015095611213301232,
3750,0.0003863218078941984,
3800,0.000210066146655518,
3850,0.00011206079246269637,
3900,0.00018839398503530901,
3950,0.00014400385626226465,
4000,0.0002611812964323409,0.8533333333333334
4050,0.00013437695396569557,
4100,0.00019953139239770084,
4150,0.00017477066428224562,
4200,0.00015340689401160078,
4250,,0.8533333333333334
